Folder,Filename,Title,Author,License,Sketchfab Link,Attribution,Lookup Method
Buildings,game_ready_building_5.glb,Game ready building 5,ModelMaker (https://sketchfab.com/mireubay1),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/game-ready-building-5-73b1d5fc97ca46bab7f80b7c95001e79,"""Game ready building 5"" by ModelMaker (https://sketchfab.com/mireubay1) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/game-ready-building-5-73b1d5fc97ca46bab7f80b7c95001e79)",internal
Buildings,game_ready_city_building.glb,Game Ready City Building,ModelMaker (https://sketchfab.com/mireubay1),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/game-ready-city-building-2bd7122c0f774cb48565187848154436,"""Game Ready City Building"" by ModelMaker (https://sketchfab.com/mireubay1) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/game-ready-city-building-2bd7122c0f774cb48565187848154436)",internal
Buildings,game_ready_city_buildings.glb,Game Ready City Buildings,ModelMaker (https://sketchfab.com/mireubay1),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/game-ready-city-buildings-12ac98aa701548adbfa463157f05f6cf,"""Game Ready City Buildings"" by ModelMaker (https://sketchfab.com/mireubay1) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/game-ready-city-buildings-12ac98aa701548adbfa463157f05f6cf)",internal
Buildings,ghetto_hood_graffiti_detroit_building_1.glb,Ghetto Hood Graffiti Detroit Building #1,theshadefilms (https://sketchfab.com/theshadefilms),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/ghetto-hood-graffiti-detroit-building-1-a1497340217e49aeafdca202d655d353,"""Ghetto Hood Graffiti Detroit Building #1"" by theshadefilms (https://sketchfab.com/theshadefilms) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/ghetto-hood-graffiti-detroit-building-1-a1497340217e49aeafdca202d655d353)",internal
Buildings,industrial_building.glb,industrial building,spicybamer (https://sketchfab.com/smitecraft.swe),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/industrial-building-770acf6b0da74af397f748d95141f8be,"""industrial building"" by spicybamer (https://sketchfab.com/smitecraft.swe) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/industrial-building-770acf6b0da74af397f748d95141f8be)",internal
Buildings,lowpoly_buildings.glb,Lowpoly Buildings,l0wpoly (https://sketchfab.com/l0wpoly),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/lowpoly-buildings-eccb92b88be04334a8aefd3751612800,"""Lowpoly Buildings"" by l0wpoly (https://sketchfab.com/l0wpoly) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/lowpoly-buildings-eccb92b88be04334a8aefd3751612800)",internal
Buildings,low_poly_residential_buildings.glb,Low Poly Residential Buildings,Arsen Ismailov (https://sketchfab.com/fdgasd7),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/low-poly-residential-buildings-302766f5645a41ed8c6b9c35c2020687,"""Low Poly Residential Buildings"" by Arsen Ismailov (https://sketchfab.com/fdgasd7) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/low-poly-residential-buildings-302766f5645a41ed8c6b9c35c2020687)",internal
Buildings,new_york_buildings.glb,New York Buildings,sumitmangela (https://sketchfab.com/sumitmangela),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/new-york-buildings-e7922fe0f7b14ed786f84529f9217dac,"""New York Buildings"" by sumitmangela (https://sketchfab.com/sumitmangela) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/new-york-buildings-e7922fe0f7b14ed786f84529f9217dac)",internal
Buildings,nyc_bronx_buildings.glb,NYC Bronx Buildings,99.Miles (https://sketchfab.com/Mazen220),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/nyc-bronx-buildings-9092600d1d9b46b7881746d44d8bfc58,"""NYC Bronx Buildings"" by 99.Miles (https://sketchfab.com/Mazen220) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/nyc-bronx-buildings-9092600d1d9b46b7881746d44d8bfc58)",internal
Buildings,office_building.glb,Office building,Nikitos & 3130 (https://sketchfab.com/vrcityphoto),CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/),https://sketchfab.com/3d-models/office-building-af9782245c134c21ae0c8df7f57077e6,"""Office building"" by Nikitos & 3130 (https://sketchfab.com/vrcityphoto) is licensed under CC-BY-4.0 (http://creativecommons.org/licenses/by/4.0/) (Source: https://sketchfab.com/3d-models/office-building-af9782245c134c21ae0c8df7f57077e6)",internal
